Subreg_Year,Subregion,Year,Lower95,Median,Upper95,Mean,SD,Mode,MCerr,MC%ofSD,SSeff,AC.100,psrf
"N[15,16]",S07,1990,49.9675,89.8007,142.189,93.52387006,25.04978662,NA,0.413266234,1.6,3674,0.006556933,1.000918714
"N[15,17]",S07,1991,64.6364,118.1,188.829,123.1761389,33.61548778,NA,0.564135198,1.7,3551,0.009031848,1.001127396
"N[15,18]",S07,1992,87.6199,155.623,253.94,163.4128033,45.21420951,NA,0.80725593,1.8,3137,0.007799062,1.001916258
"N[15,19]",S07,1993,73.5174,159.457,282.267,169.2099372,57.26601996,NA,0.98901421,1.7,3353,0.003549021,1.001158564
"N[15,20]",S07,1994,97.158,205.549,371.342,218.9371452,75.4600904,NA,1.36660548,1.8,3049,0.010430644,1.001197073
"N[15,21]",S07,1995,88.0514,219.9125,427.162,236.9557807,93.97629281,NA,1.678528173,1.8,3135,0.005629161,1.001286212
"N[15,22]",S07,1996,111.67,282.118,549.344,304.0809336,122.3191755,NA,2.128562713,1.7,3302,0.005847262,1.001414814
"N[15,23]",S07,1997,128.475,335.8085,659.153,363.7918903,149.2278291,NA,2.531892927,1.7,3474,0.006736423,1.001374221
"N[15,24]",S07,1998,165.117,425.442,820.953,458.3538064,182.597586,NA,3.07008704,1.7,3537,0.002219085,1.001438016
"N[15,25]",S07,1999,223.875,543.1995,1040.29,584.0411886,226.5574812,NA,3.716806799,1.6,3715,0.000164774,1.001581095
"N[15,26]",S07,2000,302.125,666.017,1268.84,714.4022422,266.5864718,NA,4.335730469,1.6,3781,0.001098554,1.002096556
"N[15,27]",S07,2001,374.581,812.91,1483.33,863.4321248,303.6875985,NA,4.81408187,1.6,3979,-0.001620604,1.002207507
"N[15,28]",S07,2002,483.565,996.7035,1750.91,1053.123227,346.6353383,NA,5.414856711,1.6,4098,0.00505587,1.002340642
"N[15,29]",S07,2003,624.372,1221.15,2061.45,1281.8724,389.9309499,NA,5.944225094,1.5,4303,0.014465425,1.002531194
"N[15,30]",S07,2004,730.412,1443.5,2492.38,1519.247281,478.75264,NA,7.161946186,1.5,4468,0.013627513,1.002872876
"N[15,31]",S07,2005,791.259,1623.955,2815.85,1708.555761,547.7320545,NA,8.178055104,1.5,4486,0.0220743,1.002791836
"N[15,32]",S07,2006,893.359,1903.355,3308.81,2008.375381,663.3935685,NA,10.21529031,1.5,4217,0.027380528,1.003414018
"N[15,33]",S07,2007,947.036,2092.295,3670.25,2211.513539,756.1205925,NA,11.14902463,1.5,4599,0.027305801,1.004111436
"N[15,34]",S07,2008,1031.22,2284.045,4103.56,2423.586569,845.430286,NA,12.30123545,1.5,4723,0.027616416,1.005790505
"N[15,35]",S07,2009,1137.31,2506.685,4528,2674.832924,940.4647276,NA,13.34742446,1.4,4965,0.038124062,1.006918581
"N[15,36]",S07,2010,1203.57,2735.595,4936.21,2916.607704,1028.852621,NA,14.50722441,1.4,5030,0.045818715,1.008241848
"N[15,37]",S07,2011,1191.8,2943.31,5638,3174.140487,1244.843815,NA,17.8550752,1.4,4861,0.044110741,1.009328975
"N[15,38]",S07,2012,1174.18,3113.265,6344.17,3397.906708,1456.780944,NA,20.4923312,1.4,5054,0.033475627,1.010903009
"N[16,1]",N06,1975,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[16,2]",N06,1976,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[16,3]",N06,1977,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[16,4]",N06,1978,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[16,5]",N06,1979,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[16,6]",N06,1980,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[16,7]",N06,1981,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[16,8]",N06,1982,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[16,9]",N06,1983,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[16,10]",N06,1984,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[16,11]",N06,1985,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[16,12]",N06,1986,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[16,13]",N06,1987,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[16,14]",N06,1988,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[16,15]",N06,1989,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[16,16]",N06,1990,2.68911,8.670455,18.0433,9.540754206,4.368008532,NA,0.065246066,1.5,4482,-0.001414392,1.002641185
"N[16,17]",N06,1991,3.5728,10.6615,23.0942,11.82106199,5.528242236,NA,0.080953216,1.5,4663,-0.001955765,1.002617321
"N[16,18]",N06,1992,4.07958,12.88255,28.1828,14.33802179,6.942340669,NA,0.101707025,1.5,4659,-0.005702812,1.002682736
"N[16,19]",N06,1993,2.62056,12.62425,30.9803,14.48533341,8.358102676,NA,0.122203244,1.5,4678,-0.005201817,1.002542425
"N[16,20]",N06,1994,2.12792,14.51815,36.6954,16.73744668,10.208122,NA,0.152090707,1.5,4505,-0.007423873,1.002419642
"N[16,21]",N06,1995,2.59325,17.62795,44.3902,20.33584302,12.23869589,NA,0.178499511,1.5,4701,0.00121438,1.00231344
"N[16,22]",N06,1996,3.56596,21.5696,53.1159,24.69597395,14.50355247,NA,0.205845967,1.4,4964,0.004683822,1.00227611
"N[16,23]",N06,1997,5.44762,26.37125,63.6693,29.77342595,16.97913133,NA,0.237472382,1.4,5112,0.004138897,1.002051109
"N[16,24]",N06,1998,6.00085,31.87115,74.3863,35.692409,19.62328143,NA,0.267762859,1.4,5371,0.012076981,1.001511288
"N[16,25]",N06,1999,8.81617,38.1855,88.1208,42.47123785,22.46439701,NA,0.300915736,1.3,5573,0.011685887,1.001441789
"N[16,26]",N06,2000,9.13411,45.1024,99.5676,49.96530822,25.50274312,NA,0.338238612,1.3,5685,0.014612982,1.001235338
"N[16,27]",N06,2001,13.4748,52.86785,115.113,58.19882825,28.39828108,NA,0.374727382,1.3,5743,0.007388251,1.001224807
"N[16,28]",N06,2002,17.1138,61.7391,127.896,67.32045713,31.26921461,NA,0.405405272,1.3,5949,0.008588674,1.000988546
"N[16,29]",N06,2003,19.5127,70.08445,148.284,77.17501783,36.47984053,NA,0.476740104,1.3,5855,0.008948829,1.001407481
"N[16,30]",N06,2004,22.5237,79.1084,170.88,87.57543641,42.58426818,NA,0.570699557,1.3,5568,0.002579255,1.002099954
"N[16,31]",N06,2005,26.9819,88.0641,197.256,98.34644994,48.93263332,NA,0.687222698,1.4,5070,0.007577383,1.002201303
"N[16,32]",N06,2006,28.3031,98.22785,222.254,109.8439762,55.91706755,NA,0.799437862,1.4,4892,0.01991912,1.002867832
"N[16,33]",N06,2007,26.9212,108.3955,244.738,121.7466383,63.76455683,NA,0.938968322,1.5,4612,0.018811648,1.003308207
"N[16,34]",N06,2008,25.1269,118.117,272.957,133.9446907,72.80052723,NA,1.114629333,1.5,4266,0.021190382,1.003545717
"N[16,35]",N06,2009,27.1292,125.916,303.998,143.9998708,81.86573737,NA,1.274636639,1.6,4125,0.020530724,1.003952378
"N[16,36]",N06,2010,29.7671,134.718,343.457,156.2886707,93.2836731,NA,1.4931779,1.6,3903,0.022771048,1.004420528
"N[16,37]",N06,2011,26.4419,139.2565,373.169,164.1756125,103.8470344,NA,1.688967735,1.6,3780,0.031610537,1.004934241
"N[16,38]",N06,2012,25.6832,149.451,433.309,181.6307162,124.5010972,NA,2.019813218,1.6,3799,0.033284295,1.005472076
"N[17,1]",S06,1975,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,2]",S06,1976,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,3]",S06,1977,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,4]",S06,1978,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,5]",S06,1979,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,6]",S06,1980,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,7]",S06,1981,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,8]",S06,1982,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,9]",S06,1983,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,10]",S06,1984,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,11]",S06,1985,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,12]",S06,1986,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,13]",S06,1987,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,14]",S06,1988,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,15]",S06,1989,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,16]",S06,1990,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,17]",S06,1991,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,18]",S06,1992,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,19]",S06,1993,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,20]",S06,1994,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,21]",S06,1995,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,22]",S06,1996,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,23]",S06,1997,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,24]",S06,1998,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[17,25]",S06,1999,12.7596,20.5054,29.2355,20.92508403,4.312771931,NA,0.046337828,1.1,8662,0.022252116,1.002122209
"N[17,26]",S06,2000,11.701,19.7,30.8471,20.39446053,5.117857695,NA,0.055394163,1.1,8536,0.018038956,1.001573546
"N[17,27]",S06,2001,11.2167,21.18275,33.6429,22.11009549,6.127039847,NA,0.066091483,1.1,8594,0.014387697,1.000634195
"N[17,28]",S06,2002,12.5186,24.42475,40.3952,25.57055104,7.663871577,NA,0.08169328,1.1,8801,0.01359104,1.000409339
"N[17,29]",S06,2003,6.93326,19.3299,38.1208,20.91216611,8.75617556,NA,0.095783889,1.1,8357,0.007541319,1.000397911
"N[17,30]",S06,2004,8.53579,24.05985,49.5212,26.18806273,11.47545781,NA,0.127163368,1.1,8144,0.00851541,1.000273807
"N[17,31]",S06,2005,10.454,30.71005,63.4087,33.5903354,14.86130391,NA,0.16149995,1.1,8468,0.006142022,1.000302831
"N[17,32]",S06,2006,14.1494,39.3934,81.7464,43.06753206,19.04050805,NA,0.20938437,1.1,8269,0.015609055,1.00042652
"N[17,33]",S06,2007,17.1765,50.47185,103.391,55.03087569,24.32110436,NA,0.268358672,1.1,8214,0.022171005,1.000916768
"N[17,34]",S06,2008,21.8315,64.72575,132.43,70.35803247,31.07529562,NA,0.335456773,1.1,8581,0.015744082,1.001104119
"N[17,35]",S06,2009,28.5322,82.45905,167.437,89.4013171,39.18379619,NA,0.424610718,1.1,8516,0.012606297,1.001346085
"N[17,36]",S06,2010,36.1984,104.466,212.775,113.9005957,49.76200179,NA,0.541252458,1.1,8453,0.010679034,1.001359753
"N[17,37]",S06,2011,38.9892,131.6955,270.398,143.6787655,65.53301647,NA,0.70879247,1.1,8548,0.006136718,1.0012702
"N[17,38]",S06,2012,47.6103,162.489,345.327,177.9133972,84.89417919,NA,0.889431591,1,9110,0.011717207,1.001262629
"N[18,1]",S08,1975,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,2]",S08,1976,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,3]",S08,1977,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,4]",S08,1978,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,5]",S08,1979,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,6]",S08,1980,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,7]",S08,1981,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,8]",S08,1982,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,9]",S08,1983,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,10]",S08,1984,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,11]",S08,1985,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,12]",S08,1986,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,13]",S08,1987,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,14]",S08,1988,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,15]",S08,1989,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,16]",S08,1990,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,17]",S08,1991,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,18]",S08,1992,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,19]",S08,1993,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,20]",S08,1994,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[18,21]",S08,1995,7.59318,14.7842,24.5371,15.36150485,4.457875251,NA,0.109216276,2.4,1666,-0.012576937,1.007387341
"N[18,22]",S08,1996,9.94201,19.29785,32.2615,20.13362422,5.940006939,NA,0.138543898,2.3,1838,0.004994763,1.006204362
"N[18,23]",S08,1997,12.6519,25.25935,41.6505,26.32424849,7.753120289,NA,0.177817145,2.3,1901,0.008128867,1.00531772
"N[18,24]",S08,1998,16.7461,32.987,54.2516,34.43349871,10.0728521,NA,0.218623226,2.2,2123,0.008290773,1.004829532
"N[18,25]",S08,1999,23.2571,43.0019,71.2145,44.93159279,12.87214494,NA,0.267513746,2.1,2315,0.001320803,1.004591024
"N[18,26]",S08,2000,30.2071,55.46765,90.549,58.03031454,16.38964421,NA,0.337632944,2.1,2356,0.006684385,1.004493295
"N[18,27]",S08,2001,33.677,65.14995,106.912,68.31999533,19.87650565,NA,0.403375673,2,2428,0.019334998,1.00439978
"N[18,28]",S08,2002,42.1486,81.0321,132.365,84.95651599,24.64376118,NA,0.482352079,2,2610,0.034473235,1.004255939
"N[18,29]",S08,2003,50.7905,94.9953,160.697,99.93076998,30.14676713,NA,0.587863639,2,2630,0.033045885,1.004564238
"N[18,30]",S08,2004,41.4101,99.15055,181.116,105.3611925,38.78959534,NA,0.74892047,1.9,2683,0.032910262,1.004017631
"N[18,31]",S08,2005,49.5705,121.0765,227.801,129.5057251,49.85250477,NA,0.973811595,2,2621,0.031243169,1.003962315
"N[18,32]",S08,2006,64.7588,157.0365,292.413,168.532275,64.29836424,NA,1.310371037,2,2408,0.03303297,1.004706399
"N[18,33]",S08,2007,85.0073,202.8335,378.9,217.451706,81.63381957,NA,1.693968934,2.1,2322,0.033309008,1.004486319
"N[18,34]",S08,2008,105.482,247.41,468.98,265.8270412,100.6702733,NA,2.212661461,2.2,2070,0.03729896,1.005299958
"N[18,35]",S08,2009,133.993,319.4845,597.088,342.9887787,128.9489038,NA,2.868407573,2.2,2021,0.033157974,1.004340566
"N[18,36]",S08,2010,163.601,384.2035,722.917,412.8467285,158.70645,NA,3.783078272,2.4,1760,0.029137021,1.004387027
"N[18,37]",S08,2011,160.607,453.178,895.675,491.9281901,207.9112021,NA,5.126381329,2.5,1645,0.0268499,1.005061401
"N[18,38]",S08,2012,67.286,434.4695,991.803,484.545284,263.827397,NA,5.792920629,2.2,2074,0.022142974,1.005742684
"N[19,1]",GBY,1975,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,2]",GBY,1976,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,3]",GBY,1977,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,4]",GBY,1978,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,5]",GBY,1979,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,6]",GBY,1980,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,7]",GBY,1981,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,8]",GBY,1982,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,9]",GBY,1983,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,10]",GBY,1984,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,11]",GBY,1985,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,12]",GBY,1986,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,13]",GBY,1987,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,14]",GBY,1988,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,15]",GBY,1989,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,16]",GBY,1990,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,17]",GBY,1991,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,18]",GBY,1992,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,19]",GBY,1993,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,20]",GBY,1994,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,21]",GBY,1995,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[19,22]",GBY,1996,166.741,308.5385,499.234,321.8031379,89.3423853,NA,2.945304085,3.3,920,0.154582434,1.010304996
"N[19,23]",GBY,1997,219.902,381.4585,594.02,395.3925946,99.94098406,NA,2.809236236,2.8,1266,0.108825522,1.009202634
"N[19,24]",GBY,1998,288.542,471.3365,698.119,485.4508785,108.9897184,NA,2.599470678,2.4,1758,0.077830259,1.006560354
"N[19,25]",GBY,1999,395.361,577.9365,813.61,593.1176729,112.3730673,NA,2.351595655,2.1,2283,0.073320858,1.007864204
"N[19,26]",GBY,2000,513.572,731.581,992.201,748.1093244,127.3550422,NA,2.424073106,1.9,2760,0.070305746,1.00728068
"N[19,27]",GBY,2001,689.833,937.673,1259.93,955.7565257,151.5732693,NA,2.492063321,1.6,3699,0.047746279,1.006022316
"N[19,28]",GBY,2002,891.897,1187.005,1598.33,1209.311112,187.2134107,NA,3.167950103,1.7,3492,0.050240418,1.005018887
"N[19,29]",GBY,2003,1147.97,1531.82,2037.37,1561.925635,234.4605108,NA,3.573771948,1.5,4304,0.056388344,1.004303778
"N[19,30]",GBY,2004,1457.75,1986.48,2608.41,2021.415084,302.1991314,NA,4.245482429,1.4,5067,0.042602458,1.003013071
"N[19,31]",GBY,2005,1754.26,2491.57,3371.52,2531.769686,426.9223325,NA,5.668577846,1.3,5672,0.035329112,1.00318244
"N[19,32]",GBY,2006,2181.55,3074.51,4206.09,3148.10543,536.3026803,NA,6.909778942,1.3,6024,0.024777333,1.003956398
"N[19,33]",GBY,2007,2282.7,3724.955,5264.21,3802.462725,767.4246445,NA,9.210801632,1.2,6942,0.012830611,1.002919676
"N[19,34]",GBY,2008,2815.1,4422.82,6714.04,4539.37831,1022.677214,NA,11.76211928,1.2,7560,0.00550584,1.002119075
"N[19,35]",GBY,2009,3069.2,5158.595,7918.01,5331.530359,1283.094116,NA,15.14981168,1.2,7173,0.027548429,1.002262839
"N[19,36]",GBY,2010,3384.41,5960.67,9173.6,6174.029418,1539.233956,NA,17.76499363,1.2,7507,0.024976891,1.002542631
"N[19,37]",GBY,2011,4053.67,6828.105,10681.4,7057.276049,1767.814045,NA,21.77761207,1.2,6590,0.032002537,1.002895633
"N[19,38]",GBY,2012,4787.72,7638.51,12153.7,7954.859974,1973.449178,NA,24.2798431,1.2,6606,0.029950974,1.003958385
"N[20,1]",S04,1975,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,2]",S04,1976,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,3]",S04,1977,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,4]",S04,1978,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,5]",S04,1979,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,6]",S04,1980,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,7]",S04,1981,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,8]",S04,1982,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,9]",S04,1983,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,10]",S04,1984,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,11]",S04,1985,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,12]",S04,1986,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,13]",S04,1987,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,14]",S04,1988,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,15]",S04,1989,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,16]",S04,1990,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,17]",S04,1991,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,18]",S04,1992,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,19]",S04,1993,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,20]",S04,1994,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,21]",S04,1995,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,22]",S04,1996,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,23]",S04,1997,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,24]",S04,1998,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[20,25]",S04,1999,20.5468,29.41765,40.5513,29.90635381,5.264488726,NA,0.053065611,1,9842,-0.012564457,1.000677129
"N[20,26]",S04,2000,26.6866,38.75145,53.3614,39.34111164,6.913546729,NA,0.070741651,1,9551,-0.006218638,1.001118972
"N[20,27]",S04,2001,8.73242,20.90985,36.7335,21.81259269,7.479609028,NA,0.076636456,1,9525,0.009766257,1.002195149
"N[20,28]",S04,2002,8.85029,24.278,44.373,25.49355602,9.57645455,NA,0.101582867,1.1,8887,0.016388998,1.003109521
"N[20,29]",S04,2003,11.3504,30.3265,56.2138,31.84090305,11.9122226,NA,0.126896266,1.1,8812,0.012167393,1.003272458
"N[20,30]",S04,2004,14.0479,38.37275,71.1176,40.52307682,15.44476041,NA,0.16434315,1.1,8832,0.008516856,1.002968466
"N[20,31]",S04,2005,19.0486,48.71585,93.1952,51.47892672,19.94339694,NA,0.213614867,1.1,8716,0.008308947,1.003023264
"N[20,32]",S04,2006,19.5765,61.29305,113.466,65.11147867,25.58101062,NA,0.275670894,1.1,8611,0.009127245,1.00312674
"N[20,33]",S04,2007,28.2406,76.9962,146.13,82.02446455,32.4234479,NA,0.352881927,1.1,8442,0.010923991,1.002692491
"N[20,34]",S04,2008,32.771,96.01155,182.172,102.6039433,41.00910956,NA,0.444874504,1.1,8497,0.011908794,1.002918756
"N[20,35]",S04,2009,41.8596,118.896,225.801,127.6369022,51.46943881,NA,0.568419971,1.1,8199,0.013235822,1.003178399
"N[20,36]",S04,2010,54.4653,146.7595,284.345,157.6015005,63.84216118,NA,0.713723475,1.1,8001,0.018056149,1.003018852
"N[20,37]",S04,2011,57.0584,175.915,346.992,190.9586324,82.39458895,NA,0.920685494,1.1,8009,0.021813846,1.00326196
"N[20,38]",S04,2012,63.4836,209.7265,434.666,230.016735,105.2156205,NA,1.16216555,1.1,8196,0.022003519,1.003881211
"N[21,1]",N10,1975,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,2]",N10,1976,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,3]",N10,1977,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,4]",N10,1978,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,5]",N10,1979,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,6]",N10,1980,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,7]",N10,1981,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,8]",N10,1982,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,9]",N10,1983,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,10]",N10,1984,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,11]",N10,1985,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,12]",N10,1986,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,13]",N10,1987,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,14]",N10,1988,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,15]",N10,1989,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,16]",N10,1990,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,17]",N10,1991,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,18]",N10,1992,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,19]",N10,1993,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,20]",N10,1994,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,21]",N10,1995,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,22]",N10,1996,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,23]",N10,1997,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,24]",N10,1998,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,25]",N10,1999,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,26]",N10,2000,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,27]",N10,2001,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,28]",N10,2002,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,29]",N10,2003,0,0,0,0,0,0,NA,NA,NA,NA,NA
"N[21,30]",N10,2004,4.63833,12.13035,22.4727,12.84765448,4.83199467,NA,0.050644662,1,9103,0.003178466,1.000190389
"N[21,31]",N10,2005,5.50613,15.692,29.3917,16.62054111,6.443605791,NA,0.067723571,1.1,9053,-0.002497556,1.000252039
"N[21,32]",N10,2006,7.85217,20.1325,39.5801,21.52965131,8.599977956,NA,0.091646991,1.1,8806,-0.004381966,1.000392615
"N[21,33]",N10,2007,9.09672,25.89785,51.0768,27.89112651,11.55729442,NA,0.121792503,1.1,9005,-0.004983756,1.000062363
"N[21,34]",N10,2008,9.65697,32.6011,64.688,35.02210112,15.11912413,NA,0.166507638,1.1,8245,-0.001942077,1.000223685
"N[21,35]",N10,2009,11.4087,41.328,83.0183,44.75547797,19.66887162,NA,0.214791428,1.1,8385,-0.007904419,1.000259025
"N[21,36]",N10,2010,16.4627,52.7419,109.058,57.27178809,25.49370235,NA,0.280884913,1.1,8238,-0.00534408,1.00043977
"N[21,37]",N10,2011,19.7919,67.4227,138.403,73.28841741,32.99506059,NA,0.3630614,1.1,8259,0.001768362,1.000561649
"N[21,38]",N10,2012,21.8761,84.0232,174.496,91.85040152,42.88515081,NA,0.464309228,1.1,8531,0.000622643,1.000773008
